,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
163,600202.SH,20230424,5.09,5.12,4.99,5.07,5.09,-0.02,-0.3929,52163.01,26363.976
164,600202.SH,20230421,5.22,5.25,5.05,5.09,5.22,-0.13,-2.4904,72503.0,37283.827
165,600202.SH,20230420,5.26,5.26,5.16,5.22,5.27,-0.05,-0.9488,55024.0,28669.39
166,600202.SH,20230419,5.25,5.29,5.23,5.27,5.24,0.03,0.5725,51491.0,27106.499
167,600202.SH,20230418,5.26,5.28,5.23,5.24,5.28,-0.04,-0.7576,42966.01,22567.948
168,600202.SH,20230417,5.2,5.29,5.19,5.28,5.21,0.07,1.3436,58712.01,30853.021
169,600202.SH,20230414,5.2,5.21,5.11,5.21,5.17,0.04,0.7737,47775.0,24723.497
170,600202.SH,20230413,5.19,5.23,5.15,5.17,5.18,-0.01,-0.1931,59133.0,30667.515
171,600202.SH,20230412,5.11,5.2,5.1,5.18,5.14,0.04,0.7782,53852.0,27793.562
172,600202.SH,20230411,5.13,5.16,5.08,5.14,5.13,0.01,0.1949,54066.0,27649.417
173,600202.SH,20230410,5.24,5.29,5.11,5.13,5.27,-0.14,-2.6565,98897.0,51246.517
174,600202.SH,20230407,5.18,5.29,5.16,5.27,5.19,0.08,1.5414,69787.0,36708.026
175,600202.SH,20230406,5.21,5.25,5.15,5.19,5.24,-0.05,-0.9542,72903.03,37815.287
176,600202.SH,20230404,5.34,5.35,5.24,5.24,5.35,-0.11,-2.0561,97786.02,51705.942
177,600202.SH,20230403,5.38,5.38,5.3,5.35,5.38,-0.03,-0.5576,93160.0,49780.059
178,600202.SH,20230331,5.35,5.39,5.29,5.38,5.32,0.06,1.1278,102784.67,54826.811
179,600202.SH,20230330,5.39,5.43,5.23,5.32,5.43,-0.11,-2.0258,135575.03,71991.475
180,600202.SH,20230329,5.59,5.6,5.4,5.43,5.56,-0.13,-2.3381,119341.6,65071.798
181,600202.SH,20230328,5.6,5.71,5.46,5.56,5.62,-0.06,-1.0676,209900.0,116603.63
182,600202.SH,20230327,5.6,5.68,5.56,5.62,5.67,-0.05,-0.8818,130301.02,73140.525
183,600202.SH,20230324,5.71,5.73,5.57,5.67,5.73,-0.06,-1.0471,135726.41,76985.022
184,600202.SH,20230323,5.8,5.81,5.66,5.73,5.81,-0.08,-1.3769,198743.45,113621.042
185,600202.SH,20230322,5.87,5.88,5.7,5.81,5.9,-0.09,-1.5254,263608.03,152725.254
186,600202.SH,20230321,5.92,5.95,5.77,5.9,6.06,-0.16,-2.6403,337747.02,197284.871
187,600202.SH,20230320,6.02,6.26,5.89,6.06,5.89,0.17,2.8862,529381.34,318069.953
